z_m,Z_alpha_1e-05,Z_alpha_0.01
-1.000000000000e-01,1.537500000000e+06,1.537500000000e+06
-9.950000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.900000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.850000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.800000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.750000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.700000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.650000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.600000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.550000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.500000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.450000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.400000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.350000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.300000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.250000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.200000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.150000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.100000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.050000000000e-02,1.537500000000e+06,1.537500000000e+06
-9.000000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.950000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.900000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.850000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.800000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.750000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.700000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.650000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.600000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.550000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.500000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.450000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.400000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.350000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.300000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.250000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.200000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.150000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.100000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.050000000000e-02,1.537500000000e+06,1.537500000000e+06
-8.000000000000e-02,1.537500000000e+06,1.537500000000e+06
-7.950000000000e-02,1.537500000000e+06,1.537500000000e+06
-7.900000000000e-02,1.537500000000e+06,1.537500000000e+06
-7.850000000000e-02,1.537500000000e+06,1.537500000000e+06
-7.800000000000e-02,1.537500000000e+06,1.537500000000e+06
-7.750000000000e-02,1.537500000000e+06,1.537500000000e+06
-7.700000000000e-02,1.537500000000e+06,1.537500000000e+06
-7.650000000000e-02,1.537500000000e+06,1.537500000000e+06
-7.600000000000e-02,1.537500000000e+06,1.537500000000e+06
