t_over_theta,p_tau0,impulse_tau0,p_tau0.25,impulse_tau0.25,p_tau1,impulse_tau1,p_tau4,impulse_tau4
0.000000000000e+00,1.514792899408e+00,7.573964497041e-03,1.064317054247e+00,5.321585271236e-03,1.064317054247e+00,5.321585271236e-03,1.064317054247e+00,5.321585271236e-03
5.000000000000e-03,1.507237838304e+00,1.511015368856e-02,1.059008750794e+00,1.061662902520e-02,1.059008750794e+00,1.061662902520e-02,1.059008750794e+00,1.061662902520e-02
1.000000000000e-02,1.499720458224e+00,2.260875597968e-02,1.053726922614e+00,1.588526363827e-02,1.053726922614e+00,1.588526363827e-02,1.053726922614e+00,1.588526363827e-02
1.500000000000e-02,1.492240571233e+00,3.006995883584e-02,1.048471437662e+00,2.112762082659e-02,1.048471437662e+00,2.112762082659e-02,1.048471437662e+00,2.112762082659e-02
2.000000000000e-02,1.484797990334e+00,3.749394878752e-02,1.043242164551e+00,2.634383164934e-02,1.043242164551e+00,2.634383164934e-02,1.043242164551e+00,2.634383164934e-02
2.500000000000e-02,1.477392529463e+00,4.488091143483e-02,1.038038972548e+00,3.153402651208e-02,1.038038972548e+00,3.153402651208e-02,1.038038972548e+00,3.153402651208e-02
3.000000000000e-02,1.470024003482e+00,5.223103145224e-02,1.032861731574e+00,3.669833516995e-02,1.032861731574e+00,3.669833516995e-02,1.032861731574e+00,3.669833516995e-02
3.500000000000e-02,1.462692228177e+00,5.954449259313e-02,1.027710312196e+00,4.183688673093e-02,1.027710312196e+00,4.183688673093e-02,1.027710312196e+00,4.183688673093e-02
4.000000000000e-02,1.455397020254e+00,6.682147769440e-02,1.022584585631e+00,4.694980965908e-02,1.022584585631e+00,4.694980965908e-02,1.022584585631e+00,4.694980965908e-02
4.500000000000e-02,1.448138197333e+00,7.406216868106e-02,1.017484423732e+00,5.203723177775e-02,1.017484423732e+00,5.203723177775e-02,1.017484423732e+00,5.203723177775e-02
5.000000000000e-02,1.440915577942e+00,8.126674657077e-02,1.012409698998e+00,5.709928027274e-02,1.012409698998e+00,5.709928027274e-02,1.012409698998e+00,5.709928027274e-02
5.500000000000e-02,1.433728981515e+00,8.843539147835e-02,1.007360284559e+00,6.213608169553e-02,1.007360284559e+00,6.213608169553e-02,1.007360284559e+00,6.213608169553e-02
6.000000000000e-02,1.426578228388e+00,9.556828262029e-02,1.002336054179e+00,6.714776196642e-02,1.002336054179e+00,6.714776196642e-02,1.002336054179e+00,6.714776196642e-02
