t_over_theta,r
0.000000000000e+00,1.000000000000e+00
4.000200010001e-04,9.996247590978e-01
8.000400020001e-04,9.984992691537e-01
1.200060003000e-03,9.966222766670e-01
1.600080004000e-03,9.939903749853e-01
2.000100005000e-03,9.905979593211e-01
2.400120006000e-03,9.864371512192e-01
2.800140007000e-03,9.814976899770e-01
3.200160008000e-03,9.757667875449e-01
3.600180009000e-03,9.692289421717e-01
4.000200010001e-03,9.618657045440e-01
4.400220011001e-03,9.536553877353e-01
4.800240012001e-03,9.445727103702e-01
5.200260013001e-03,9.345883580378e-01
5.600280014001e-03,9.236684455599e-01
6.000300015001e-03,9.117738537499e-01
6.400320016001e-03,8.988594093008e-01
6.800340017001e-03,8.848728635169e-01
7.200360018001e-03,8.697536101600e-01
7.600380019001e-03,8.534310605810e-01
8.000400020001e-03,8.358225622606e-01
8.400420021001e-03,8.168306972094e-01
8.800440022001e-03,7.963397258338e-01
9.200460023001e-03,7.742108276803e-01
9.600480024001e-03,7.502756121433e-01
1.000050002500e-02,7.243270799320e-01
1.040052002600e-02,6.961067230858e-01
1.080054002700e-02,6.652855914429e-01
1.120056002800e-02,6.314355962466e-01
1.160058002900e-02,5.939843867701e-01
1.200060003000e-02,5.521414206433e-01
1.240062003100e-02,5.047716144941e-01
1.280064003200e-02,4.501733088618e-01
1.320066003300e-02,3.857153301110e-01
1.360068003400e-02,3.077773610814e-01
1.400070003500e-02,2.214437594265e-01
1.440072003600e-02,2.133521299054e-01
1.480074003700e-02,2.811914709251e-01
1.520076003800e-02,3.448991621300e-01
1.560078003900e-02,3.983784361288e-01
1.600080004000e-02,4.438898527767e-01
1.640082004100e-02,4.833617152566e-01
1.680084004200e-02,5.181129237733e-01
1.720086004300e-02,5.490508390114e-01
1.760088004400e-02,5.768200698735e-01
1.800090004500e-02,6.018937613388e-01
1.840092004600e-02,6.246292960919e-01
1.880094004700e-02,6.453032409514e-01
1.920096004800e-02,6.641340135377e-01
1.960098004900e-02,6.812970612066e-01
2.000100005000e-02,6.969353232668e-01
2.040102005100e-02,7.111666287662e-01
2.080104005200e-02,7.240890462663e-01
2.120106005300e-02,7.357848293328e-01
2.160108005400e-02,7.463233766118e-01
2.200110005500e-02,7.557634858623e-01
2.240112005600e-02,7.641550921965e-01
2.280114005700e-02,7.715406227967e-01
2.320116005800e-02,7.779560617053e-01
2.360118005900e-02,7.834317916834e-01
2.400120006000e-02,7.879932621674e-01
2.440122006100e-02,7.916615190129e-01
2.480124006200e-02,7.944536227016e-01
2.520126006300e-02,7.963829748303e-01
2.560128006400e-02,7.974595673265e-01
2.600130006500e-02,7.976901652543e-01
2.640132006600e-02,7.970784308883e-01
2.680134006700e-02,7.956249940567e-01
2.720136006800e-02,7.933274718987e-01
2.760138006900e-02,7.901804391331e-01
2.800140007000e-02,7.861753481140e-01
2.840142007100e-02,7.813003962770e-01
2.880144007200e-02,7.755403363364e-01
2.920146007300e-02,7.688762231511e-01
2.960148007400e-02,7.612850875034e-01
3.000150007500e-02,7.527395252819e-01
3.040152007600e-02,7.432071856338e-01
3.080154007700e-02,7.326501386516e-01
3.120156007800e-02,7.210240951418e-01
3.160158007900e-02,7.082774460881e-01
3.200160008000e-02,6.943500805999e-01
3.240162008100e-02,6.791719297066e-01
3.280164008200e-02,6.626611763406e-01
3.320166008300e-02,6.447220641236e-01
3.360168008400e-02,6.252422447989e-01
3.400170008500e-02,6.040896476270e-01
3.440172008600e-02,5.811089859281e-01
3.480174008700e-02,5.561183861585e-01
3.520176008800e-02,5.289075762625e-01
3.560178008900e-02,4.992415675787e-01
3.600180009000e-02,4.668804183598e-01
3.640182009100e-02,4.316440271311e-01
