theta_fM,Vmin_over_Veq_P3,Vmin_over_Veq_P10,Vmin_over_Veq_P30
5.011872336273e-02,1.404721508319e+00,6.873548742627e-01,1.462468306618e-01
6.665143801323e-02,1.177070664062e+00,4.692137352249e-01,1.110711722562e-01
8.863781619258e-02,9.695979591655e-01,3.391978633830e-01,9.117261771911e-02
1.178768634794e-01,7.973944268127e-01,2.620634639909e-01,7.910106162851e-02
1.567610252665e-01,6.648581419447e-01,2.149923315201e-01,7.136780392616e-02
2.084719453611e-01,5.677099396904e-01,1.851567588629e-01,6.620641342176e-02
2.772407996742e-01,4.981788757496e-01,1.655478448314e-01,6.265492231395e-02
3.686945064520e-01,4.487377755572e-01,1.522590147971e-01,6.015531999839e-02
4.903161412303e-01,4.134771256224e-01,1.430294617030e-01,5.836630656438e-02
6.520572293429e-01,3.881522210997e-01,1.364954501855e-01,5.706981661374e-02
8.671520159859e-01,3.698168056934e-01,1.318013135272e-01,5.612149335143e-02
1.153200340384e+00,3.564412283663e-01,1.283910514950e-01,5.542301584556e-02
1.533607718770e+00,3.466201213248e-01,1.258924286715e-01,5.490588845647e-02
2.039500469005e+00,3.393702411316e-01,1.240499778329e-01,5.452153910532e-02
2.712272579332e+00,3.339955198071e-01,1.226847961226e-01,5.423504464929e-02
3.606972715326e+00,3.299975870999e-01,1.216695593911e-01,5.402102564688e-02
4.796808502305e+00,3.270160395439e-01,1.209124895646e-01,5.386088618963e-02
6.379136639991e+00,3.247880474029e-01,1.203467693184e-01,5.374091488110e-02
8.483428982441e+00,3.231206206354e-01,1.199233772793e-01,5.365095336977e-02
1.128186639693e+01,3.218712743616e-01,1.196061345643e-01,5.358344822857e-02
1.500342722990e+01,3.209343591356e-01,1.193682190357e-01,5.353276748196e-02
1.995262314969e+01,3.202312764713e-01,1.191896766317e-01,5.349470308360e-02
