R_m,alpha,tension_Pa,compression_Pa
7.000000000000e-01,1.000000000000e-05,1.422176623163e+07,1.182262008208e+08
7.382578457164e-01,1.000000000000e-05,1.291413106299e+07,1.113264591053e+08
7.786066382311e-01,1.000000000000e-05,1.171113085078e+07,1.048293750863e+08
8.211606562871e-01,1.000000000000e-05,1.060503414397e+07,9.871145033968e+07
8.660404244251e-01,1.000000000000e-05,9.588650094349e+06,9.295055777093e+07
9.133730543420e-01,1.000000000000e-05,8.655292264331e+06,8.752586158641e+07
9.632926049056e-01,1.000000000000e-05,7.798744768382e+06,8.241774193524e+07
1.015940461846e+00,1.000000000000e-05,7.013230602678e+06,7.760772394894e+07
1.071465738198e+00,1.000000000000e-05,6.293382026440e+06,7.307841092218e+07
1.130025696630e+00,1.000000000000e-05,5.634212866592e+06,6.881342139299e+07
1.191786194854e+00,1.000000000000e-05,5.031092625183e+06,6.479732989487e+07
1.256922155382e+00,1.000000000000e-05,4.479722276305e+06,6.101561116649e+07
1.325618060951e+00,1.000000000000e-05,3.976111646119e+06,5.745458761723e+07
1.398068477029e+00,1.000000000000e-05,3.516558276087e+06,5.410137985859e+07
1.474478602879e+00,1.000000000000e-05,3.097627675595e+06,5.094386012243e+07
1.555064852738e+00,1.000000000000e-05,2.716134875882e+06,4.797060839768e+07
1.640055468759e+00,1.000000000000e-05,2.369127202602e+06,4.517087112687e+07
1.729691167460e+00,1.000000000000e-05,2.053868189398e+06,4.253452231301e+07
1.824225821491e+00,1.000000000000e-05,1.767822559660e+06,4.005202689622e+07
1.923927178677e+00,1.000000000000e-05,1.508642208124e+06,3.771440626768e+07
2.029077620350e+00,1.000000000000e-05,1.274153118184e+06,3.551320579610e+07
2.139974961130e+00,1.000000000000e-05,1.062343154775e+06,3.344046424925e+07
2.256933292416e+00,1.000000000000e-05,8.713506763985e+05,3.148868500010e+07
2.380283871978e+00,1.000000000000e-05,6.994539133928e+05,2.965080891323e+07
2.510376062171e+00,1.000000000000e-05,5.450610628264e+05,2.792018881360e+07
2.647578319423e+00,1.000000000000e-05,4.067010535092e+05,2.629056544524e+07
2.792279237804e+00,1.000000000000e-05,2.830149375215e+05,2.475604483298e+07
2.944888649628e+00,1.000000000000e-05,1.727478673964e+05,2.331107696533e+07
3.105838786213e+00,1.000000000000e-05,7.474162066442e+04,2.195043572132e+07
3.275585502074e+00,1.000000000000e-05,0.000000000000e+00,2.066919996888e+07
3.454609566030e+00,1.000000000000e-05,0.000000000000e+00,1.946273576617e+07
3.643418022870e+00,1.000000000000e-05,0.000000000000e+00,1.832667960175e+07
3.842545629440e+00,1.000000000000e-05,0.000000000000e+00,1.725692261266e+07
4.052556369225e+00,1.000000000000e-05,0.000000000000e+00,1.624959572369e+07
4.274045049697e+00,1.000000000000e-05,0.000000000000e+00,1.530105565371e+07
4.507638986977e+00,1.000000000000e-05,0.000000000000e+00,1.440787173883e+07
4.753999782561e+00,1.000000000000e-05,0.000000000000e+00,1.356681352438e+07
5.013825197157e+00,1.000000000000e-05,0.000000000000e+00,1.277483908110e+07
5.287851126931e+00,1.000000000000e-05,0.000000000000e+00,1.202908400317e+07
5.576853687767e+00,1.000000000000e-05,0.000000000000e+00,1.132685104820e+07
5.881651413438e+00,1.000000000000e-05,0.000000000000e+00,1.066560038199e+07
6.203107573913e+00,1.000000000000e-05,0.000000000000e+00,1.004294039237e+07
6.542132620377e+00,1.000000000000e-05,0.000000000000e+00,9.456619039340e+06
6.899686763872e+00,1.000000000000e-05,0.000000000000e+00,8.904515709824e+06
7.276782694877e+00,1.000000000000e-05,0.000000000000e+00,8.384633547882e+06
7.674488451523e+00,1.000000000000e-05,0.000000000000e+00,7.895092232459e+06
8.093930444567e+00,1.000000000000e-05,0.000000000000e+00,7.434121176619e+06
8.536296647692e+00,1.000000000000e-05,0.000000000000e+00,7.000053123669e+06
9.002839962173e+00,1.000000000000e-05,0.000000000000e+00,6.591318116978e+06
9.494881765433e+00,1.000000000000e-05,0.000000000000e+00,6.206437821720e+06
1.001381565354e+01,1.000000000000e-05,0.000000000000e+00,5.844020177976e+06
1.056111138827e+01,1.000000000000e-05,0.000000000000e+00,5.502754365861e+06
1.113831905982e+01,1.000000000000e-05,0.000000000000e+00,5.181406064485e+06
1.174707347714e+01,1.000000000000e-05,0.000000000000e+00,4.878812987568e+06
1.238909879816e+01,1.000000000000e-05,0.000000000000e+00,4.593880679591e+06
1.306621341299e+01,1.000000000000e-05,0.000000000000e+00,4.325578557262e+06
1.378033509421e+01,1.000000000000e-05,0.000000000000e+00,4.072936181992e+06
1.453348642843e+01,1.000000000000e-05,0.000000000000e+00,3.835039749875e+06
1.532780054486e+01,1.000000000000e-05,0.000000000000e+00,3.611028786514e+06
1.616552715688e+01,1.000000000000e-05,0.000000000000e+00,3.400093034705e+06
1.704903893387e+01,1.000000000000e-05,0.000000000000e+00,3.201469523737e+06
1.798083822122e+01,1.000000000000e-05,0.000000000000e+00,3.014439809714e+06
1.896356412767e+01,1.000000000000e-05,0.000000000000e+00,2.838327376901e+06
2.000000000000e+01,1.000000000000e-05,0.000000000000e+00,2.672495190714e+06
7.000000000000e-01,1.157807513705e-05,1.422268275362e+07,1.182254995498e+08
7.382578457164e-01,1.157807513705e-05,1.291505009674e+07,1.113257581970e+08
7.786066382311e-01,1.157807513705e-05,1.171205236799e+07,1.048286745566e+08
8.211606562871e-01,1.157807513705e-05,1.060595811477e+07,9.871075020514e+07
8.660404244251e-01,1.157807513705e-05,9.589576487249e+06,9.294985804889e+07
9.133730543420e-01,1.157807513705e-05,8.656221046173e+06,8.752516229493e+07
9.632926049056e-01,1.157807513705e-05,7.799675904284e+06,8.241704309317e+07
1.015940461846e+00,1.157807513705e-05,7.014164055979e+06,7.760702557596e+07
1.071465738198e+00,1.157807513705e-05,6.294317758640e+06,7.307771303881e+07
1.130025696630e+00,1.157807513705e-05,5.635150837290e+06,6.881272402066e+07
1.191786194854e+00,1.157807513705e-05,5.032032792017e+06,6.479663305590e+07
1.256922155382e+00,1.157807513705e-05,4.480664594882e+06,6.101491488419e+07
1.325618060951e+00,1.157807513705e-05,3.977056069946e+06,5.745389191592e+07
1.398068477029e+00,1.157807513705e-05,3.517504756497e+06,5.410068476363e+07
1.474478602879e+00,1.157807513705e-05,3.098576161672e+06,5.094316566027e+07
1.555064852738e+00,1.157807513705e-05,2.717085314383e+06,4.796991459591e+07
1.640055468759e+00,1.157807513705e-05,2.370079537871e+06,4.517017801427e+07
1.729691167460e+00,1.157807513705e-05,2.054822363285e+06,4.253382991958e+07
1.824225821491e+00,1.157807513705e-05,1.768778511426e+06,4.005133525326e+07
1.923927178677e+00,1.157807513705e-05,1.509599874351e+06,3.771371540781e+07
2.029077620350e+00,1.157807513705e-05,1.275112432678e+06,3.551251575333e+07
2.139974961130e+00,1.157807513705e-05,1.063304048465e+06,3.343977505904e+07
2.256933292416e+00,1.157807513705e-05,8.723130772322e+05,3.148799669942e+07
2.380283871978e+00,1.157807513705e-05,7.004177462286e+05,2.965012154061e+07
2.510376062171e+00,1.157807513705e-05,5.460262493210e+05,2.791950240919e+07
2.647578319423e+00,1.157807513705e-05,4.076675120023e+05,2.628988005087e+07
2.792279237804e+00,1.157807513705e-05,2.839825829154e+05,2.475536049225e+07
2.944888649628e+00,1.157807513705e-05,1.737166110323e+05,2.331039372365e+07
3.105838786213e+00,1.157807513705e-05,7.571137019501e+04,2.194975362600e+07
3.275585502074e+00,1.157807513705e-05,0.000000000000e+00,2.066851906917e+07
3.454609566030e+00,1.157807513705e-05,0.000000000000e+00,1.946205611339e+07
3.643418022870e+00,1.157807513705e-05,0.000000000000e+00,1.832600124930e+07
3.842545629440e+00,1.157807513705e-05,0.000000000000e+00,1.725624561614e+07
4.052556369225e+00,1.157807513705e-05,0.000000000000e+00,1.624892014096e+07
4.274045049697e+00,1.157807513705e-05,0.000000000000e+00,1.530038154498e+07
4.507638986977e+00,1.157807513705e-05,0.000000000000e+00,1.440719916672e+07
4.753999782561e+00,1.157807513705e-05,0.000000000000e+00,1.356614255404e+07
5.013825197157e+00,1.157807513705e-05,0.000000000000e+00,1.277416978027e+07
5.287851126931e+00,1.157807513705e-05,0.000000000000e+00,1.202841644224e+07
5.576853687767e+00,1.157807513705e-05,0.000000000000e+00,1.132618530036e+07
5.881651413438e+00,1.157807513705e-05,0.000000000000e+00,1.066493652325e+07
6.203107573913e+00,1.157807513705e-05,0.000000000000e+00,1.004227850170e+07
6.542132620377e+00,1.157807513705e-05,0.000000000000e+00,9.455959198715e+06
6.899686763872e+00,1.157807513705e-05,0.000000000000e+00,8.903858004327e+06
7.276782694877e+00,1.157807513705e-05,0.000000000000e+00,8.383978065791e+06
7.674488451523e+00,1.157807513705e-05,0.000000000000e+00,7.894439065325e+06
8.093930444567e+00,1.157807513705e-05,0.000000000000e+00,7.433470419351e+06
8.536296647692e+00,1.157807513705e-05,0.000000000000e+00,6.999404874609e+06
9.002839962173e+00,1.157807513705e-05,0.000000000000e+00,6.590672477981e+06
9.494881765433e+00,1.157807513705e-05,0.000000000000e+00,6.205794898223e+06
1.001381565354e+01,1.157807513705e-05,0.000000000000e+00,5.843380079066e+06
1.056111138827e+01,1.157807513705e-05,0.000000000000e+00,5.502117204339e+06
1.113831905982e+01,1.157807513705e-05,0.000000000000e+00,5.180771956918e+06
1.174707347714e+01,1.157807513705e-05,0.000000000000e+00,4.878182054340e+06
1.238909879816e+01,1.157807513705e-05,0.000000000000e+00,4.593253044944e+06
1.306621341299e+01,1.157807513705e-05,0.000000000000e+00,4.324954349325e+06
1.378033509421e+01,1.157807513705e-05,0.000000000000e+00,4.072315532798e+06
1.453348642843e+01,1.157807513705e-05,0.000000000000e+00,3.834422795376e+06
1.532780054486e+01,1.157807513705e-05,0.000000000000e+00,3.610415666571e+06
1.616552715688e+01,1.157807513705e-05,0.000000000000e+00,3.399483893065e+06
1.704903893387e+01,1.157807513705e-05,0.000000000000e+00,3.200864508003e+06
1.798083822122e+01,1.157807513705e-05,0.000000000000e+00,3.013839071284e+06
1.896356412767e+01,1.157807513705e-05,0.000000000000e+00,2.837731070898e+06
2.000000000000e+01,1.157807513705e-05,0.000000000000e+00,2.671903475889e+06
7.000000000000e-01,1.340518238791e-05,1.422374382741e+07,1.182246876218e+08
7.382578457164e-01,1.340518238791e-05,1.291611407339e+07,1.113249466896e+08
7.786066382311e-01,1.340518238791e-05,1.171311921442e+07,1.048278634882e+08
8.211606562871e-01,1.340518238791e-05,1.060702779606e+07,9.870993959514e+07
8.660404244251e-01,1.340518238791e-05,9.590648966583e+06,9.294904791733e+07
9.133730543420e-01,1.340518238791e-05,8.657296284780e+06,8.752435266277e+07
9.632926049056e-01,1.340518238791e-05,7.800753861375e+06,8.241623398230e+07
1.015940461846e+00,1.340518238791e-05,7.015244688682e+06,7.760621700920e+07
1.071465738198e+00,1.340518238791e-05,6.295401021929e+06,7.307690503999e+07
1.130025696630e+00,1.340518238791e-05,5.636236683916e+06,6.881191661463e+07
1.191786194854e+00,1.340518238791e-05,5.033121172428e+06,6.479582626861e+07
1.256922155382e+00,1.340518238791e-05,4.481755457148e+06,6.101410874268e+07
1.325618060951e+00,1.340518238791e-05,3.978149359675e+06,5.745308644841e+07
1.398068477029e+00,1.340518238791e-05,3.518600416749e+06,5.409987999957e+07
1.474478602879e+00,1.340518238791e-05,3.099674132868e+06,5.094236163037e+07
1.555064852738e+00,1.340518238791e-05,2.718185534215e+06,4.796911133220e+07
1.640055468759e+00,1.340518238791e-05,2.371181941202e+06,4.516937555016e+07
1.729691167460e+00,1.340518238791e-05,2.055926882047e+06,4.253302828991e+07
1.824225821491e+00,1.340518238791e-05,1.769885074517e+06,4.005053449436e+07
1.923927178677e+00,1.340518238791e-05,1.510708407524e+06,3.771291555756e+07
