t_hours,alpha_max0.001,x_spall_max0.001,x_crush_max0.001,alpha_max0.01,x_spall_max0.01,x_crush_max0.01,alpha_max0.03,x_spall_max0.03,x_crush_max0.03
0.000000000000e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
2.500000000000e-01,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
5.000000000000e-01,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
7.500000000000e-01,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
1.000000000000e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
1.250000000000e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
1.500000000000e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
1.750000000000e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
2.000000000000e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
2.250000000000e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
2.500000000000e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
2.750000000000e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
3.000000000000e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
3.250000000000e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
3.500000000000e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00,1.000000000000e-05,9.385790229847e-01,3.021109631842e+00
