t_over_theta,goupillaud,series,transfer_shifted
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,nan
5.000000000000e-03,0.000000000000e+00,0.000000000000e+00,nan
1.000000000000e-02,0.000000000000e+00,0.000000000000e+00,nan
1.500000000000e-02,0.000000000000e+00,0.000000000000e+00,nan
2.000000000000e-02,0.000000000000e+00,0.000000000000e+00,1.040834085586e-17
2.500000000000e-02,0.000000000000e+00,0.000000000000e+00,3.122502256758e-17
3.000000000000e-02,0.000000000000e+00,0.000000000000e+00,1.864827736675e-17
3.500000000000e-02,0.000000000000e+00,0.000000000000e+00,1.691355389077e-17
4.000000000000e-02,0.000000000000e+00,0.000000000000e+00,1.778091562876e-17
4.500000000000e-02,0.000000000000e+00,0.000000000000e+00,2.515349040166e-17
5.000000000000e-02,0.000000000000e+00,0.000000000000e+00,2.081668171172e-17
5.500000000000e-02,0.000000000000e+00,0.000000000000e+00,3.599551212652e-17
6.000000000000e-02,0.000000000000e+00,0.000000000000e+00,3.165870343658e-17
6.500000000000e-02,0.000000000000e+00,0.000000000000e+00,6.461844948014e-17
7.000000000000e-02,0.000000000000e+00,0.000000000000e+00,1.257674520083e-17
7.500000000000e-02,0.000000000000e+00,0.000000000000e+00,2.168404344971e-17
8.000000000000e-02,0.000000000000e+00,0.000000000000e+00,3.079134169859e-17
8.500000000000e-02,0.000000000000e+00,0.000000000000e+00,2.602085213965e-17
9.000000000000e-02,0.000000000000e+00,0.000000000000e+00,6.505213034913e-18
9.500000000000e-02,0.000000000000e+00,0.000000000000e+00,2.775557561563e-17
1.000000000000e-01,0.000000000000e+00,0.000000000000e+00,3.903127820948e-18
1.050000000000e-01,0.000000000000e+00,0.000000000000e+00,4.336808689942e-17
1.100000000000e-01,0.000000000000e+00,0.000000000000e+00,1.604619215279e-17
1.150000000000e-01,0.000000000000e+00,0.000000000000e+00,1.561251128379e-17
1.200000000000e-01,0.000000000000e+00,0.000000000000e+00,2.081668171172e-17
1.250000000000e-01,0.000000000000e+00,0.000000000000e+00,3.642919299551e-17
1.300000000000e-01,0.000000000000e+00,0.000000000000e+00,-4.466912950640e-17
1.350000000000e-01,0.000000000000e+00,0.000000000000e+00,3.816391647149e-17
