dp_Pa,U_alpha_1e-05,U_alpha_0.0001,U_alpha_0.001,U_alpha_0.003,U_alpha_0.01,U_alpha_0.03
1.000000000000e+02,1.424649201243e+03,1.038642674566e+03,4.357971207526e+02,2.592522912721e+02,1.440084792871e+02,8.425276609593e+01
1.025301089901e+02,1.424650198823e+03,1.038646539886e+03,4.357999734176e+02,2.592540893839e+02,1.440094993618e+02,8.425336654763e+01
1.051242324952e+02,1.424651221614e+03,1.038650502926e+03,4.358028982269e+02,2.592559329724e+02,1.440105452359e+02,8.425398218593e+01
1.077839901524e+02,1.424652270252e+03,1.038654566156e+03,4.358058970042e+02,2.592578231873e+02,1.440116175619e+02,8.425461339479e+01
1.105110425771e+02,1.424653345390e+03,1.038658732105e+03,4.358089716193e+02,2.592597612073e+02,1.440127170085e+02,8.425526056785e+01
1.133070924004e+02,1.424654447696e+03,1.038663003368e+03,4.358121239893e+02,2.592617482410e+02,1.440138442613e+02,8.425592410873e+01
1.161738853316e+02,1.424655577857e+03,1.038667382606e+03,4.358153560795e+02,2.592637855275e+02,1.440150000232e+02,8.425660443121e+01
1.191132112485e+02,1.424656736574e+03,1.038671872546e+03,4.358186699051e+02,2.592658743371e+02,1.440161850150e+02,8.425730195955e+01
1.221269053147e+02,1.424657924568e+03,1.038676475982e+03,4.358220675320e+02,2.592680159723e+02,1.440173999757e+02,8.425801712872e+01
1.252168491254e+02,1.424659142580e+03,1.038681195783e+03,4.358255510782e+02,2.592702117683e+02,1.440186456628e+02,8.425875038466e+01
1.283849718823e+02,1.424660391364e+03,1.038686034886e+03,4.358291227153e+02,2.592724630942e+02,1.440199228530e+02,8.425950218460e+01
1.316332515978e+02,1.424661671699e+03,1.038690996304e+03,4.358327846699e+02,2.592747713538e+02,1.440212323427e+02,8.426027299730e+01
1.349637163305e+02,1.424662984380e+03,1.038696083125e+03,4.358365392244e+02,2.592771379860e+02,1.440225749483e+02,8.426106330336e+01
1.383784454507e+02,1.424664330222e+03,1.038701298516e+03,4.358403887191e+02,2.592795644662e+02,1.440239515069e+02,8.426187359552e+01
1.418795709394e+02,1.424665710063e+03,1.038706645724e+03,4.358443355534e+02,2.592820523072e+02,1.440253628768e+02,8.426270437897e+01
