alpha,p_star_Pa,R_star_W0.25,R_star_W1,R_star_W4
1.000000000000e-05,2.306273062731e+04,5.859123847739e+02,9.300779359513e+02,1.476406693942e+03
1.027319864033e-05,2.369280776518e+04,5.721021227873e+02,9.081555115458e+02,1.441607014378e+03
1.055386103037e-05,2.434009888330e+04,5.586173722238e+02,8.867498043158e+02,1.407627572204e+03
1.084219107874e-05,2.500507428513e+04,5.454504606843e+02,8.658486350867e+02,1.374449034182e+03
1.113839826483e-05,2.568821712385e+04,5.325938966099e+02,8.454401117504e+02,1.342052522769e+03
1.144269779097e-05,2.639002375348e+04,5.200403650202e+02,8.255126224990e+02,1.310419605368e+03
1.175531073878e-05,2.711100408960e+04,5.077827233510e+02,8.060548292186e+02,1.279532283846e+03
1.207646422983e-05,2.785168197989e+04,4.958139973901e+02,7.870556610377e+02,1.249372984289e+03
1.240639159059e-05,2.861259558486e+04,4.841273773099e+02,7.685043080284e+02,1.219924547006e+03
1.274533252198e-05,2.939429776892e+04,4.727162137921e+02,7.503902150559e+02,1.191170216766e+03
1.309353327354e-05,3.019735650218e+04,4.615740142447e+02,7.327030757732e+02,1.163093633263e+03
1.345124682228e-05,3.102235527324e+04,4.506944391082e+02,7.154328267566e+02,1.135678821806e+03
1.381873305654e-05,3.186989351319e+04,4.400712982483e+02,6.985696417803e+02,1.108910184235e+03
1.419625896475e-05,3.274058703130e+04,4.296985474337e+02,6.821039262254e+02,1.082772490042e+03
1.458409882944e-05,3.363506846256e+04,4.195702848975e+02,6.660263116210e+02,1.057250867706e+03
1.498253442650e-05,3.455398772743e+04,4.096807479794e+02,6.503276503136e+02,1.032330796232e+03
1.539185522990e-05,3.549801250423e+04,4.000243098463e+02,6.349990102628e+02,1.007998096890e+03
1.581235862200e-05,3.646782871437e+04,3.905954762912e+02,6.200316699587e+02,9.842389251460e+02
1.624435010959e-05,3.746414102086e+04,3.813888826074e+02,6.054171134600e+02,9.610397627860e+02
1.668814354589e-05,3.848767334051e+04,3.723992905357e+02,5.911470255486e+02,9.383874102237e+02
1.714406135852e-05,3.953916937003e+04,3.636215852842e+02,5.772132869984e+02,9.162689789913e+02
1.761243478381e-05,4.061939312656e+04,3.550507726180e+02,5.636079699559e+02,8.946718844056e+02
1.809360410739e-05,4.172912950301e+04,3.466819760179e+02,5.503233334292e+02,8.735838384082e+02
1.858791891147e-05,4.286918483850e+04,3.385104339057e+02,5.373518188841e+02,8.529928425737e+02
1.909573832878e-05,4.404038750447e+04,3.305314969348e+02,5.246860459429e+02,8.328871812828e+02
1.961743130353e-05,4.524358850676e+04,3.227406253451e+02,5.123188081858e+02,8.132554150572e+02
2.015337685942e-05,4.647966210418e+04,3.151333863801e+02,5.002430690501e+02,7.940863740499e+02
2.070396437502e-05,4.774950644397e+04,3.077054517644e+02,4.884519578271e+02,7.753691516906e+02
2.126959386669e-05,4.905404421464e+04,3.004525952413e+02,4.769387657527e+02,7.570930984802e+02
2.185067627916e-05,5.039422331667e+04,2.933706901685e+02,4.656969421901e+02,7.392478159309e+02
2.244763378413e-05,5.177101755150e+04,2.864557071695e+02,4.547200909031e+02,7.218231506507e+02
2.306090008697e-05,5.318542732941e+04,2.797037118415e+02,4.440019664165e+02,7.048091885656e+02
2.369092074183e-05,5.463848039675e+04,2.731108625167e+02,4.335364704629e+02,6.881962492793e+02
2.433815347531e-05,5.613123258298e+04,2.666734080764e+02,4.233176485125e+02,6.719748805654e+02
2.500306851906e-05,5.766476856825e+04,2.603876858172e+02,4.133396863857e+02,6.561358529889e+02
2.568614895141e-05,5.924020267186e+04,2.542501193662e+02,4.035969069449e+02,6.406701546554e+02
2.638789104829e-05,6.085867966233e+04,2.482572166468e+02,3.940837668639e+02,6.255689860833e+02
2.710880464384e-05,6.252137558962e+04,2.424055678919e+02,3.847948534746e+02,6.108237551976e+02
2.784941350081e-05,6.422949864010e+04,2.366918437033e+02,3.757248816869e+02,5.964260724405e+02
2.861025569104e-05,6.598429001488e+04,2.311127931577e+02,3.668686909819e+02,5.823677459989e+02
2.939188398647e-05,6.778702483216e+04,2.256652419572e+02,3.582212424754e+02,5.686407771429e+02
3.019486626065e-05,6.963901305431e+04,2.203460906226e+02,3.497776160514e+02,5.552373556750e+02
3.101978590138e-05,7.154160044019e+04,2.151523127308e+02,3.415330075623e+02,5.421498554862e+02
3.186724223454e-05,7.349616952364e+04,2.100809531920e+02,3.334827260955e+02,5.293708302172e+02
3.273785095949e-05,7.550414061862e+04,2.051291265690e+02,3.256221913049e+02,5.168930090215e+02
3.363224459643e-05,7.756697285191e+04,2.002940154348e+02,3.179469308041e+02,5.047092924285e+02
3.455107294592e-05,7.968616522404e+04,1.955728687704e+02,3.104525776225e+02,4.928127483042e+02
3.549500356099e-05,8.186325769917e+04,1.909630003987e+02,3.031348677199e+02,4.811966079068e+02
