tau_over_theta,peak_alpha_0.001,peak_alpha_0.01,peak_alpha_0.03
1.000000000000e-02,1.482401359083e+00,1.426954125297e+00,1.381998027371e+00
1.025738813407e-02,1.481676104655e+00,1.425742197371e+00,1.379748387461e+00
1.052140113330e-02,1.480932570818e+00,1.424500286185e+00,1.377445090183e+00
1.079220951385e-02,1.480170307087e+00,1.423227681814e+00,1.375086967150e+00
1.106998818077e-02,1.479388852404e+00,1.421923659183e+00,1.372672830324e+00
1.135491654098e-02,1.478587734926e+00,1.420587477831e+00,1.370201472000e+00
1.164717861908e-02,1.477766471796e+00,1.419218381677e+00,1.367671664819e+00
1.194696317627e-02,1.476924568920e+00,1.417815598788e+00,1.365082161791e+00
1.225446383225e-02,1.476061520738e+00,1.416378341149e+00,1.362431696359e+00
1.256987919023e-02,1.475176809991e+00,1.414905804438e+00,1.359718982474e+00
1.289341296526e-02,1.474269907489e+00,1.413397167799e+00,1.356942714705e+00
1.322527411575e-02,1.473340271870e+00,1.411851593625e+00,1.354101568379e+00
1.356567697847e-02,1.472387349362e+00,1.410268227337e+00,1.351194199749e+00
1.391484140696e-02,1.471410573544e+00,1.408646197180e+00,1.348219246192e+00
1.427299291352e-02,1.470409365096e+00,1.406984614006e+00,1.345175326450e+00
1.464036281489e-02,1.469383131554e+00,1.405282571084e+00,1.342061040899e+00
1.501718838159e-02,1.468331267061e+00,1.403539143897e+00,1.338874971861e+00
1.540371299124e-02,1.467253152116e+00,1.401753389963e+00,1.335615683956e+00
1.580018628570e-02,1.466148153321e+00,1.399924348646e+00,1.332281724496e+00
1.620686433230e-02,1.465015623125e+00,1.398051040996e+00,1.328871623921e+00
1.662400978927e-02,1.463854899570e+00,1.396132469578e+00,1.325383896291e+00
1.705189207531e-02,1.462665306030e+00,1.394167618329e+00,1.322015959456e+00
1.749078754367e-02,1.461446150956e+00,1.392155452411e+00,1.319399566809e+00
1.794097966060e-02,1.460196727616e+00,1.390094918088e+00,1.316722130215e+00
1.840275918843e-02,1.458916313834e+00,1.387984942609e+00,1.313982390359e+00
1.887642437335e-02,1.457604171728e+00,1.385824434106e+00,1.311179070508e+00
1.936228113809e-02,1.456259547454e+00,1.383612281510e+00,1.308310876754e+00
1.986064327944e-02,1.454881670944e+00,1.381347354479e+00,1.305376498285e+00
2.037183267095e-02,1.453469755646e+00,1.379028503346e+00,1.302374607692e+00
2.089617947083e-02,1.452022998265e+00,1.376654559087e+00,1.299303861323e+00
2.143402233515e-02,1.450540578510e+00,1.374224333304e+00,1.296162899672e+00
2.198570863660e-02,1.449021658835e+00,1.371736618232e+00,1.292950347807e+00
2.255159468881e-02,1.447465384188e+00,1.369190186771e+00,1.289664815851e+00
2.313204597654e-02,1.445870881759e+00,1.366583792537e+00,1.286304899506e+00
2.372743739166e-02,1.444237260736e+00,1.363916169942e+00,1.282869180626e+00
2.433815347531e-02,1.442563612059e+00,1.361186034300e+00,1.279356227844e+00
2.496458866628e-02,1.440849008183e+00,1.358392081960e+00,1.275764597253e+00
2.560714755575e-02,1.439092502841e+00,1.355532990473e+00,1.272092833139e+00
2.626624514857e-02,1.437704192311e+00,1.352607418791e+00,1.268339468782e+00
2.694230713135e-02,1.437704192311e+00,1.349614007495e+00,1.264503027311e+00
2.763577014736e-02,1.437704192311e+00,1.346551379061e+00,1.260582022625e+00
2.834708207854e-02,1.437704192311e+00,1.343418138173e+00,1.256574960386e+00
2.907670233480e-02,1.437704192311e+00,1.340212872059e+00,1.252480339075e+00
2.982510215069e-02,1.437704192311e+00,1.336934150883e+00,1.248296651128e+00
3.059276488979e-02,1.437704192311e+00,1.333580528179e+00,1.244022384138e+00
3.138018635689e-02,1.437704192311e+00,1.330150541323e+00,1.239656022145e+00
3.218787511821e-02,1.437704192311e+00,1.326642712066e+00,1.235196047000e+00
3.301635282985e-02,1.437704192311e+00,1.323055547108e+00,1.230640939817e+00
3.386615457472e-02,1.437704192311e+00,1.319387538733e+00,1.225989182513e+00
3.473782920813e-02,1.437704192311e+00,1.315637165497e+00,1.221239259430e+00
3.563193971229e-02,1.437704192311e+00,1.311802892974e+00,1.216389659060e+00
3.654906355987e-02,1.437704192311e+00,1.307883174568e+00,1.211438875861e+00
3.748979308704e-02,1.437704192311e+00,1.303944707670e+00,1.206385412167e+00
3.845473587598e-02,1.437704192311e+00,1.302040911892e+00,1.201227780207e+00
3.944451514731e-02,1.437704192311e+00,1.300091928101e+00,1.196391851621e+00
4.045977016262e-02,1.437704192311e+00,1.298096784109e+00,1.193000588400e+00
4.150115663732e-02,1.437704192311e+00,1.296054492044e+00,1.189534824672e+00
4.256934716419e-02,1.437704192311e+00,1.293964048391e+00,1.185993256909e+00
4.366503164771e-02,1.437704192311e+00,1.291824434049e+00,1.182374576105e+00
4.478891774970e-02,1.437704192311e+00,1.289634614408e+00,1.178677468816e+00
4.594173134636e-02,1.437704192311e+00,1.287393539449e+00,1.174900618253e+00
4.712421699709e-02,1.437704192311e+00,1.285100143877e+00,1.171042705462e+00
4.833713842533e-02,1.437704192311e+00,1.282753347268e+00,1.167102410566e+00
4.958127901189e-02,1.437704192311e+00,1.280352054248e+00,1.163078414081e+00
5.085744230086e-02,1.437704192311e+00,1.277895154705e+00,1.158969398317e+00
5.216645251860e-02,1.437704192311e+00,1.275381524026e+00,1.154774048851e+00
5.350915510608e-02,1.437704192311e+00,1.272810023367e+00,1.150491056092e+00
5.488641726493e-02,1.437704192311e+00,1.270179499961e+00,1.146119116916e+00
5.629912851749e-02,1.437704192311e+00,1.267488787459e+00,1.141656936407e+00
5.774820128138e-02,1.437704192311e+00,1.264736706303e+00,1.137103229673e+00
5.923457145876e-02,1.437704192311e+00,1.261922064153e+00,1.132456723758e+00
6.075919904078e-02,1.437704192311e+00,1.259043656338e+00,1.127716159655e+00
6.232306872765e-02,1.437704192311e+00,1.256100266367e+00,1.122880294407e+00
6.392719056459e-02,1.437704192311e+00,1.253090666472e+00,1.117947903307e+00
6.557260059417e-02,1.437704192311e+00,1.250013618208e+00,1.112917782207e+00
6.726036152548e-02,1.437704192311e+00,1.246867873098e+00,1.107788749921e+00
6.899156342047e-02,1.437704192311e+00,1.243652173337e+00,1.102559650734e+00
7.076732439801e-02,1.437704192311e+00,1.240365252539e+00,1.097229357015e+00
7.258879135601e-02,1.437704192311e+00,1.237005836553e+00,1.091796771945e+00
7.445714071217e-02,1.437704192311e+00,1.233572644336e+00,1.086260832339e+00
7.637357916378e-02,1.437704192311e+00,1.230064388880e+00,1.080620511591e+00
7.833934446711e-02,1.437704192311e+00,1.226479778212e+00,1.074874822714e+00
8.035570623678e-02,1.437704192311e+00,1.222817516464e+00,1.069022821502e+00
8.242396676580e-02,1.437704192311e+00,1.219076304998e+00,1.063063609791e+00
8.454546186665e-02,1.437704192311e+00,1.215254843624e+00,1.056996338838e+00
8.672156173405e-02,1.437704192311e+00,1.211351831873e+00,1.050820212797e+00
8.895367182989e-02,1.437704192311e+00,1.207365970365e+00,1.044534492311e+00
9.124323379099e-02,1.437704192311e+00,1.203295962245e+00,1.038138498204e+00
9.359172636019e-02,1.437704192311e+00,1.199140514713e+00,1.031631615277e+00
9.600066634142e-02,1.437704192311e+00,1.194898340627e+00,1.025013296202e+00
9.847160957934e-02,1.437704192311e+00,1.190568160212e+00,1.018283065513e+00
1.010061519642e-01,1.437704192311e+00,1.186148702843e+00,1.011569134890e+00
1.036059304626e-01,1.437704192311e+00,1.181638708934e+00,1.008285990690e+00
1.062726241746e-01,1.437704192311e+00,1.177036931921e+00,1.004936031064e+00
1.090079554185e-01,1.437704192311e+00,1.172342140343e+00,1.001518359543e+00
1.118136908429e-01,1.437704192311e+00,1.167553120025e+00,9.980320922441e-01
1.146916425679e-01,1.437704192311e+00,1.162668676363e+00,9.944763595308e-01
1.176436693553e-01,1.437704192311e+00,1.157687636725e+00,9.908503077604e-01
1.206716778093e-01,1.437704192311e+00,1.152608852948e+00,9.871531011040e-01
1.237776236080e-01,1.437704192311e+00,1.147431203955e+00,9.833839234501e-01
1.269635127660e-01,1.437704192311e+00,1.142153598481e+00,9.795419803890e-01
1.302314029306e-01,1.437704192311e+00,1.136774977911e+00,9.756265012808e-01
1.335834047104e-01,1.437704192311e+00,1.131294319241e+00,9.716367414079e-01
1.370216830385e-01,1.437704192311e+00,1.125710638148e+00,9.675719842115e-01
1.405484585709e-01,1.437704192311e+00,1.120022992181e+00,9.634315436156e-01
1.441660091207e-01,1.437704192311e+00,1.114230484074e+00,9.592147664358e-01
1.478766711291e-01,1.437704192311e+00,1.108332265170e+00,9.549210348752e-01
1.516828411746e-01,1.437704192311e+00,1.102327538973e+00,9.505497691072e-01
1.555869775206e-01,1.437704192311e+00,1.096215564809e+00,9.461004299434e-01
1.595916017036e-01,1.437704192311e+00,1.089995661613e+00,9.415725215885e-01
1.636993001612e-01,1.437704192311e+00,1.083667211829e+00,9.369655944784e-01
1.679127259029e-01,1.437704192311e+00,1.077229665419e+00,9.322792482023e-01
1.722346002236e-01,1.437704192311e+00,1.070682543993e+00,9.275131345067e-01
1.766677144610e-01,1.437704192311e+00,1.064317054247e+00,9.226669603779e-01
1.812149317985e-01,1.437704192311e+00,1.064317054247e+00,9.177404912022e-01
1.858791891147e-01,1.437704192311e+00,1.064317054247e+00,9.127335539989e-01
1.906634988795e-01,1.437704192311e+00,1.064317054247e+00,9.076460407246e-01
1.955709511007e-01,1.437704192311e+00,1.064317054247e+00,9.024779116423e-01
2.006047153190e-01,1.437704192311e+00,1.064317054247e+00,8.972291987522e-01
2.057680426551e-01,1.437704192311e+00,1.064317054247e+00,8.919000092784e-01
2.110642679102e-01,1.437704192311e+00,1.064317054247e+00,8.864905292050e-01
2.164968117188e-01,1.437704192311e+00,1.064317054247e+00,8.810010268555e-01
2.220691827588e-01,1.437704192311e+00,1.064317054247e+00,8.754318565070e-01
2.277849800173e-01,1.437704192311e+00,1.064317054247e+00,8.697834620331e-01
2.336478951149e-01,1.437704192311e+00,1.064317054247e+00,8.640563805629e-01
2.396617146902e-01,1.437704192311e+00,1.064317054247e+00,8.582512461504e-01
2.458303228455e-01,1.437704192311e+00,1.064317054247e+00,8.523687934401e-01
2.521577036550e-01,1.437704192311e+00,1.064317054247e+00,8.464098613187e-01
2.586479437385e-01,1.437704192311e+00,1.064317054247e+00,8.403753965406e-01
2.653052349005e-01,1.437704192311e+00,1.064317054247e+00,8.342664573130e-01
2.721338768375e-01,1.437704192311e+00,1.064317054247e+00,8.280842168257e-01
2.791382799152e-01,1.437704192311e+00,1.064317054247e+00,8.218299667118e-01
2.863229680167e-01,1.437704192311e+00,1.064317054247e+00,8.155051204205e-01
2.936925814646e-01,1.437704192311e+00,1.064317054247e+00,8.091112164867e-01
3.012518800180e-01,1.437704192311e+00,1.064317054247e+00,8.026499216776e-01
3.090057459463e-01,1.437704192311e+00,1.064317054247e+00,7.961230339965e-01
3.169591871829e-01,1.437704192311e+00,1.064317054247e+00,7.895324855245e-01
3.251173405595e-01,1.437704192311e+00,1.064317054247e+00,7.828803450777e-01
3.334854751235e-01,1.437704192311e+00,1.064317054247e+00,7.761688206574e-01
3.420689955417e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.508734455903e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.599045117358e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.691680268077e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.786699737656e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.884164895632e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
3.984138691123e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.086685693481e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.191872133999e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.299765948683e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.410436822130e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.523956232538e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.640397497869e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.759835823201e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
4.882348349303e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.008014202454e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.136914545551e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.269132630527e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.404753852121e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.543865803031e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.686558330489e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.832923594286e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
5.983056126297e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
6.137052891536e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
6.295013350780e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
6.457039524811e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
6.623236060302e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
6.793710297409e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
6.968572339096e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
7.147935122245e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
7.331914490602e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
7.520629269592e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
7.714201343066e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
7.912755732020e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
8.116420675342e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
8.325327712638e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
8.539611769186e-01,1.437704192311e+00,1.064317054247e+00,7.747918144199e-01
