delta,tanh_delta
1.000000000000e-02,9.999666679999e-03
1.017869984146e-02,1.017834833147e-02
1.036059304626e-02,1.036022235363e-02
1.054573667974e-02,1.054534575766e-02
1.073418882701e-02,1.073377657155e-02
1.092600861117e-02,1.092557385814e-02
1.112125621184e-02,1.112079773352e-02
1.131999288403e-02,1.131950938573e-02
1.152228097740e-02,1.152177109377e-02
1.172818395579e-02,1.172764624697e-02
1.193776641714e-02,1.193719936471e-02
1.215109411376e-02,1.215049611642e-02
1.236823397293e-02,1.236760334203e-02
1.258925411794e-02,1.258858907266e-02
1.281422388944e-02,1.281352255181e-02
1.304321386719e-02,1.304247425674e-02
1.327629589221e-02,1.327551592042e-02
1.351354308932e-02,1.351272055370e-02
1.375502989009e-02,1.375416246797e-02
1.400083205615e-02,1.399991729812e-02
1.425102670303e-02,1.425006202602e-02
1.450569232428e-02,1.450467500429e-02
1.476490881614e-02,1.476383598052e-02
1.502875750261e-02,1.502762612197e-02
1.529732116091e-02,1.529612804057e-02
1.557068404754e-02,1.556942581849e-02
1.584893192461e-02,1.584760503403e-02
1.613215208684e-02,1.613075278804e-02
1.642043338887e-02,1.641895773074e-02
1.671386627320e-02,1.671231008905e-02
1.701254279853e-02,1.701090169431e-02
1.731655666862e-02,1.731482601055e-02
1.762600326175e-02,1.762417816322e-02
1.794097966060e-02,1.793905496837e-02
1.826158468270e-02,1.825955496237e-02
1.858791891147e-02,1.858577843215e-02
1.892008472772e-02,1.891782744585e-02
1.925818634185e-02,1.925580588411e-02
1.960232982646e-02,1.959981947184e-02
1.995262314969e-02,1.994997581048e-02
2.030917620905e-02,2.030638441085e-02
2.067210086592e-02,2.066915672657e-02
2.104151098067e-02,2.103840618796e-02
2.141752244830e-02,2.141424823658e-02
2.180025323490e-02,2.179680036028e-02
2.218982341459e-02,2.218618212889e-02
2.258635520721e-02,2.258251523046e-02
2.298997301669e-02,2.298592350811e-02
2.340080347001e-02,2.339653299745e-02
2.381897545703e-02,2.381447196467e-02
2.424462017082e-02,2.423987094523e-02
2.467787114890e-02,2.467286278310e-02
2.511886431510e-02,2.511358267078e-02
2.556773802218e-02,2.556216818983e-02
2.602463309528e-02,2.601875935213e-02
2.648969287611e-02,2.648349864174e-02
2.696306326784e-02,2.695653105747e-02
2.744489278096e-02,2.743800415613e-02
2.793533257985e-02,2.792806809640e-02
2.843453653017e-02,2.842687568341e-02
2.894266124717e-02,2.893458241408e-02
2.945986614480e-02,2.945134652306e-02
2.998631348576e-02,2.997732902944e-02
3.052216843235e-02,3.051269378413e-02
3.106759909834e-02,3.105760751802e-02
3.162277660168e-02,3.161223989081e-02
3.218787511821e-02,3.217676354059e-02
3.276307193627e-02,3.275135413413e-02
3.334854751235e-02,3.333619041801e-02
3.394448552769e-02,3.393145427032e-02
3.455107294592e-02,3.453733075332e-02
3.516850007170e-02,3.515400816665e-02
3.579696061042e-02,3.578167810145e-02
3.643665172901e-02,3.642053549519e-02
3.708777411774e-02,3.707077868720e-02
3.775053205324e-02,3.773260947510e-02
3.842513346254e-02,3.840623317185e-02
3.911178998833e-02,3.909185866366e-02
3.981071705535e-02,3.978969846865e-02
4.052213393797e-02,4.049996879627e-02
4.124626382901e-02,4.122288960746e-02
4.198333390972e-02,4.195868467560e-02
4.273357542109e-02,4.270758164822e-02
4.349722373638e-02,4.346981210945e-02
4.427451843494e-02,4.424561164324e-02
4.506570337745e-02,4.503521989729e-02
4.587102678234e-02,4.583888064774e-02
4.669074130371e-02,4.665684186459e-02
4.752510411058e-02,4.748935577779e-02
4.837437696758e-02,4.833667894413e-02
4.923882631707e-02,4.919907231473e-02
5.011872336273e-02,5.007680130321e-02
5.101434415464e-02,5.097013585462e-02
5.192596967591e-02,5.187935051489e-02
5.285388593079e-02,5.280472450098e-02
5.379838403444e-02,5.374654177157e-02
5.475976030422e-02,5.470509109844e-02
5.573831635270e-02,5.568066613823e-02
5.673435918226e-02,5.667356550489e-02
5.774820128138e-02,5.768409284249e-02
5.878016072275e-02,5.871255689857e-02
5.983056126297e-02,5.975927159787e-02
6.089973244419e-02,6.082455611644e-02
6.198800969748e-02,6.190873495609e-02
6.309573444802e-02,6.301213801913e-02
6.422325422229e-02,6.413510068335e-02
6.537092275706e-02,6.527796387717e-02
6.653910011034e-02,6.644107415495e-02
6.772815277441e-02,6.762478377230e-02
6.893845379074e-02,6.882945076148e-02
7.017038286704e-02,7.005543900661e-02
7.142432649640e-02,7.130311831886e-02
7.270067807854e-02,7.257286451128e-02
7.399983804321e-02,7.386505947341e-02
7.532221397586e-02,7.518009124543e-02
7.666822074546e-02,7.651835409178e-02
7.803828063470e-02,7.788024857424e-02
7.943282347243e-02,7.926618162418e-02
8.085228676856e-02,8.067656661404e-02
8.229711585129e-02,8.211182342781e-02
8.376776400683e-02,8.357237853038e-02
8.526469262159e-02,8.505866503567e-02
8.678837132696e-02,8.657112277332e-02
8.833927814664e-02,8.811019835383e-02
8.991789964660e-02,8.967634523201e-02
9.152473108774e-02,9.127002376839e-02
9.316027658126e-02,9.289170128866e-02
9.482504924681e-02,9.454185214070e-02
9.651957137351e-02,9.622095774912e-02
9.824437458374e-02,9.792950666706e-02
1.000000000000e-01,9.966799462496e-02
1.017869984146e-01,1.014369245761e-01
1.036059304626e-01,1.032368067387e-01
1.054573667974e-01,1.050681586340e-01
1.073418882701e-01,1.069315051206e-01
1.092600861117e-01,1.088273784241e-01
1.112125621184e-01,1.107563181620e-01
1.131999288403e-01,1.127188713637e-01
1.152228097740e-01,1.147155924852e-01
1.172818395579e-01,1.167470434172e-01
1.193776641714e-01,1.188137934880e-01
1.215109411376e-01,1.209164194589e-01
