alpha,d_c_R2,d_c_R5,d_c_R10
1.000000000000e-05,1.072511069271e-01,1.310896573239e-01,1.524544478673e-01
1.027319864033e-05,1.072496251823e-01,1.310847174499e-01,1.524424497491e-01
1.055386103037e-05,1.072481030197e-01,1.310796431985e-01,1.524301267895e-01
1.084219107874e-05,1.072465393385e-01,1.310744309305e-01,1.524174702758e-01
1.113839826483e-05,1.072449330080e-01,1.310690769090e-01,1.524044712661e-01
1.144269779097e-05,1.072432828671e-01,1.310635772969e-01,1.523911205835e-01
1.175531073878e-05,1.072415877229e-01,1.310579281543e-01,1.523774088103e-01
1.207646422983e-05,1.072398463503e-01,1.310521254356e-01,1.523633262820e-01
1.240639159059e-05,1.072380574909e-01,1.310461649869e-01,1.523488630807e-01
1.274533252198e-05,1.072362198521e-01,1.310400425432e-01,1.523340090294e-01
1.309353327354e-05,1.072343321065e-01,1.310337537252e-01,1.523187536852e-01
1.345124682228e-05,1.072323928905e-01,1.310272940367e-01,1.523030863325e-01
1.381873305654e-05,1.072304008036e-01,1.310206588614e-01,1.522869959767e-01
1.419625896475e-05,1.072283544074e-01,1.310138434596e-01,1.522704713371e-01
1.458409882944e-05,1.072262522244e-01,1.310068429651e-01,1.522535008397e-01
1.498253442650e-05,1.072240927372e-01,1.309996523821e-01,1.522360726103e-01
1.539185522990e-05,1.072218743874e-01,1.309922665814e-01,1.522181744668e-01
1.581235862200e-05,1.072195955741e-01,1.309846802975e-01,1.521997939121e-01
1.624435010959e-05,1.072172546535e-01,1.309768881244e-01,1.521809181260e-01
1.668814354589e-05,1.072148499369e-01,1.309688845127e-01,1.521615339580e-01
1.714406135852e-05,1.072123796903e-01,1.309606637653e-01,1.521416279185e-01
1.761243478381e-05,1.072098421324e-01,1.309522200338e-01,1.521211861712e-01
1.809360410739e-05,1.072072354342e-01,1.309435473148e-01,1.521001945250e-01
1.858791891147e-05,1.072045577169e-01,1.309346394456e-01,1.520786384248e-01
1.909573832878e-05,1.072018070512e-01,1.309254901002e-01,1.520565029435e-01
1.961743130353e-05,1.071989814554e-01,1.309160927853e-01,1.520337727729e-01
2.015337685942e-05,1.071960788945e-01,1.309064408359e-01,1.520104322149e-01
2.070396437502e-05,1.071930972786e-01,1.308965274107e-01,1.519864651721e-01
2.126959386669e-05,1.071900344613e-01,1.308863454881e-01,1.519618551387e-01
2.185067627916e-05,1.071868882382e-01,1.308758878612e-01,1.519365851910e-01
2.244763378413e-05,1.071836563458e-01,1.308651471332e-01,1.519106379778e-01
2.306090008697e-05,1.071803364592e-01,1.308541157127e-01,1.518839957102e-01
2.369092074183e-05,1.071769261910e-01,1.308427858088e-01,1.518566401522e-01
2.433815347531e-05,1.071734230897e-01,1.308311494258e-01,1.518285526100e-01
2.500306851906e-05,1.071698246374e-01,1.308191983583e-01,1.517997139219e-01
