t_over_theta,r
0.000000000000e+00,1.000000000000e+00
1.000050002500e-02,9.996259562966e-01
2.000100005000e-02,9.985088209889e-01
3.000150007500e-02,9.966544583917e-01
4.000200010001e-02,9.940665992354e-01
5.000250012501e-02,9.907468656288e-01
6.000300015001e-02,9.866947681563e-01
7.000350017501e-02,9.819076748239e-01
8.000400020001e-02,9.763807509448e-01
9.000450022501e-02,9.701068678107e-01
1.000050002500e-01,9.630764776520e-01
1.100055002750e-01,9.552774500213e-01
1.200060003000e-01,9.466948646736e-01
1.300065003250e-01,9.373107530643e-01
1.400070003500e-01,9.271037793713e-01
1.500075003750e-01,9.160488478671e-01
1.600080004000e-01,9.041166206685e-01
1.700085004250e-01,8.912729246335e-01
1.800090004500e-01,8.774780184850e-01
1.900095004750e-01,8.626856828669e-01
2.000100005000e-01,8.468420827018e-01
2.100105005250e-01,8.298843321391e-01
2.200110005500e-01,8.117386666601e-01
2.300115005750e-01,7.923180887934e-01
2.400120006000e-01,7.715192950351e-01
2.500125006250e-01,7.492186076927e-01
2.600130006500e-01,7.252664999153e-01
2.700135006750e-01,6.994800938028e-01
2.800140007000e-01,6.716326728307e-01
2.900145007250e-01,6.414386978613e-01
3.000150007500e-01,6.085319002450e-01
3.100155007750e-01,5.724325360506e-01
3.200160008000e-01,5.324976660295e-01
3.300165008250e-01,4.878463900977e-01
3.400170008500e-01,4.372595519528e-01
3.500175008750e-01,3.791367846627e-01
3.600180009000e-01,3.122673742889e-01
3.700185009250e-01,2.437242021988e-01
3.800190009500e-01,2.230626047923e-01
3.900195009750e-01,2.705531973151e-01
4.000200010001e-01,3.285528426580e-01
4.100205010251e-01,3.807083270948e-01
4.200210010501e-01,4.263776329578e-01
4.300215010751e-01,4.666819689468e-01
4.400220011001e-01,5.026632526413e-01
4.500225011251e-01,5.351173944344e-01
4.600230011501e-01,5.646391752471e-01
4.700235011751e-01,5.916781664188e-01
4.800240012001e-01,6.165806313080e-01
4.900245012251e-01,6.396184874603e-01
5.000250012501e-01,6.610091538127e-01
5.100255012751e-01,6.809293108341e-01
5.200260013001e-01,6.995246110397e-01
5.300265013251e-01,7.169166634446e-01
5.400270013501e-01,7.332081509137e-01
5.500275013751e-01,7.484866453534e-01
5.600280014001e-01,7.628274977690e-01
5.700285014251e-01,7.762960600190e-01
5.800290014501e-01,7.889494155814e-01
5.900295014751e-01,8.008377446675e-01
6.000300015001e-01,8.120054127173e-01
6.100305015251e-01,8.224918474790e-01
6.200310015501e-01,8.323322522470e-01
6.300315015751e-01,8.415581908608e-01
6.400320016001e-01,8.501980714717e-01
6.500325016251e-01,8.582775493195e-01
6.600330016501e-01,8.658198644599e-01
6.700335016751e-01,8.728461267287e-01
6.800340017001e-01,8.793755574498e-01
6.900345017251e-01,8.854256956559e-01
7.000350017501e-01,8.910125747542e-01
7.100355017751e-01,8.961508747564e-01
7.200360018001e-01,9.008540537183e-01
7.300365018251e-01,9.051344618793e-01
7.400370018501e-01,9.090034409501e-01
7.500375018751e-01,9.124714109026e-01
7.600380019001e-01,9.155479458189e-01
7.700385019251e-01,9.182418405298e-01
7.800390019501e-01,9.205611690991e-01
7.900395019751e-01,9.225133363897e-01
8.000400020001e-01,9.241051233810e-01
8.100405020251e-01,9.253427271585e-01
8.200410020501e-01,9.262317961079e-01
8.300415020751e-01,9.267774608616e-01
8.400420021001e-01,9.269843615252e-01
8.500425021251e-01,9.268566714287e-01
8.600430021501e-01,9.263981178754e-01
8.700435021751e-01,9.256120000816e-01
8.800440022001e-01,9.245012045689e-01
8.900445022251e-01,9.230682182403e-01
9.000450022501e-01,9.213151392462e-01
9.100455022751e-01,9.192436858501e-01
9.200460023001e-01,9.168552033734e-01
9.300465023251e-01,9.141506693274e-01
9.400470023501e-01,9.111306968276e-01
9.500475023751e-01,9.077955363227e-01
9.600480024001e-01,9.041450757197e-01
9.700485024251e-01,9.001788389233e-01
9.800490024501e-01,8.958959828220e-01
9.900495024751e-01,8.912952927461e-01
1.000050002500e+00,8.863751763968e-01
1.010050502525e+00,8.811336562709e-01
1.020051002550e+00,8.755683605836e-01
