t_over_theta,r
0.000000000000e+00,1.000000000000e+00
2.000100005000e-03,9.996249590297e-01
4.000200010001e-03,9.985008674880e-01
6.000300015001e-03,9.966276724526e-01
8.000400020001e-03,9.940031807095e-01
1.000050002500e-02,9.906230257547e-01
1.200060003000e-02,9.864806049726e-01
1.400070003500e-02,9.815669847668e-01
1.600080004000e-02,9.758707708930e-01
1.800090004500e-02,9.693779394707e-01
2.000100005000e-02,9.620716234020e-01
2.200110005500e-02,9.539318460675e-01
2.400120006000e-02,9.449351930116e-01
2.600130006500e-02,9.350544079367e-01
2.800140007000e-02,9.242578975666e-01
3.000150007500e-02,9.125091214313e-01
3.200160008000e-02,8.997658387740e-01
3.400170008500e-02,8.859791730988e-01
3.600180009000e-02,8.710924413000e-01
3.800190009500e-02,8.550396753946e-01
4.000200010001e-02,8.377437371520e-01
4.200210010501e-02,8.191138833345e-01
4.400220011001e-02,7.990425794990e-01
4.600230011501e-02,7.774012645529e-01
4.800240012001e-02,7.540346203467e-01
5.000250012501e-02,7.287526621837e-01
5.200260013001e-02,7.013195686490e-01
5.400270013501e-02,6.714374902252e-01
5.600280014001e-02,6.387223703052e-01
5.800290014501e-02,6.026665958318e-01
6.000300015001e-02,5.625791042002e-01
6.200310015501e-02,5.174855895164e-01
6.400320016001e-02,4.659577317602e-01
6.600330016501e-02,4.058340507309e-01
6.800340017001e-02,3.340116948892e-01
7.000350017501e-02,2.500521744949e-01
7.200360018001e-02,2.032406733977e-01
7.400370018501e-02,2.573066349837e-01
7.600380019001e-02,3.232522561904e-01
7.800390019501e-02,3.796098545737e-01
8.000400020001e-02,4.274950967318e-01
8.200410020501e-02,4.689071011234e-01
8.400420021001e-02,5.052956526983e-01
8.600430021501e-02,5.376641685182e-01
8.800440022001e-02,5.667225137097e-01
9.000450022501e-02,5.929885602780e-01
9.200460023001e-02,6.168511993244e-01
9.400470023501e-02,6.386099007638e-01
9.600480024001e-02,6.585002617750e-01
9.800490024501e-02,6.767110163453e-01
1.000050002500e-01,6.933956893752e-01
1.020051002550e-01,7.086807912033e-01
1.040052002600e-01,7.226717139055e-01
1.060053002650e-01,7.354570616269e-01
1.080054002700e-01,7.471118885305e-01
1.100055002750e-01,7.577001588576e-01
1.120056002800e-01,7.672766420781e-01
1.140057002850e-01,7.758883908776e-01
1.160058002900e-01,7.835759057315e-01
1.180059002950e-01,7.903740608347e-01
1.200060003000e-01,7.963128452946e-01
1.220061003050e-01,8.014179596111e-01
1.240062003100e-01,8.057112972105e-01
1.260063003150e-01,8.092113331667e-01
1.280064003200e-01,8.119334371253e-01
1.300065003250e-01,8.138901233085e-01
1.320066003300e-01,8.150912471728e-01
1.340067003350e-01,8.155441561810e-01
1.360068003400e-01,8.152538001891e-01
1.380069003450e-01,8.142228052058e-01
1.400070003500e-01,8.124515133025e-01
1.420071003550e-01,8.099379900926e-01
1.440072003600e-01,8.066780003219e-01
1.460073003650e-01,8.026649510080e-01
1.480074003700e-01,7.978898006409e-01
1.500075003750e-01,7.923409319497e-01
1.520076003800e-01,7.860039846330e-01
1.540077003850e-01,7.788616427684e-01
1.560078003900e-01,7.708933706805e-01
1.580079003950e-01,7.620750885514e-01
1.600080004000e-01,7.523787780221e-01
1.620081004050e-01,7.417720033076e-01
1.640082004100e-01,7.302173328163e-01
1.660083004150e-01,7.176716406907e-01
1.680084004200e-01,7.040852652767e-01
1.700085004250e-01,6.894009961777e-01
1.720086004300e-01,6.735528614449e-01
1.740087004350e-01,6.564646874504e-01
1.760088004400e-01,6.380484178143e-01
1.780089004450e-01,6.182022179212e-01
1.800090004500e-01,5.968084882627e-01
1.820091004550e-01,5.737321424053e-01
1.840092004600e-01,5.488200395502e-01
1.860093004650e-01,5.219037164879e-01
1.880094004700e-01,4.928105561141e-01
1.900095004750e-01,4.613958741335e-01
1.920096004800e-01,4.276268780974e-01
1.940097004850e-01,3.917960027488e-01
1.960098004900e-01,3.550486964376e-01
1.980099004950e-01,3.205586507867e-01
2.000100005000e-01,2.951903084248e-01
2.020101005050e-01,2.880405316132e-01
2.040102005100e-01,3.015507155870e-01
2.060103005150e-01,3.283488540148e-01
2.080104005200e-01,3.602134632821e-01
2.100105005250e-01,3.926247194209e-01
2.120106005300e-01,4.237179896757e-01
2.140107005350e-01,4.528594338562e-01
2.160108005400e-01,4.799177307316e-01
2.180109005450e-01,5.049546396095e-01
2.200110005500e-01,5.280984228272e-01
2.220111005550e-01,5.494925219670e-01
2.240112005600e-01,5.692753111788e-01
2.260113005650e-01,5.875728596316e-01
2.280114005700e-01,6.044971493243e-01
2.300115005750e-01,6.201465145380e-01
2.320116005800e-01,6.346068980671e-01
2.340117005850e-01,6.479533156561e-01
2.360118005900e-01,6.602512739713e-01
2.380119005950e-01,6.715580465164e-01
2.400120006000e-01,6.819237818048e-01
2.420121006050e-01,6.913924493013e-01
2.440122006100e-01,7.000026390565e-01
2.460123006150e-01,7.077882348537e-01
2.480124006200e-01,7.147789796643e-01
2.500125006250e-01,7.210009502732e-01
2.520126006300e-01,7.264769557343e-01
2.540127006350e-01,7.312268715688e-01
2.560128006400e-01,7.352679199724e-01
2.580129006450e-01,7.386149041224e-01
2.600130006500e-01,7.412804035695e-01
2.620131006550e-01,7.432749359271e-01
2.640132006600e-01,7.446070895631e-01
2.660133006650e-01,7.452836307913e-01
2.680134006700e-01,7.453095885260e-01
2.700135006750e-01,7.446883186428e-01
2.720136006800e-01,7.434215499663e-01
2.740137006850e-01,7.415094132822e-01
2.760138006900e-01,7.389504545311e-01
2.780139006950e-01,7.357416329911e-01
2.800140007000e-01,7.318783052167e-01
2.820141007050e-01,7.273541952890e-01
2.840142007100e-01,7.221613519921e-01
2.860143007150e-01,7.162900936905e-01
2.880144007200e-01,7.097289419887e-01
2.900145007250e-01,7.024645460772e-01
2.920146007300e-01,6.944816002631e-01
2.940147007350e-01,6.857627599020e-01
2.960148007400e-01,6.762885627597e-01
2.980149007450e-01,6.660373679658e-01
3.000150007500e-01,6.549853317544e-01
3.020151007550e-01,6.431064501038e-01
3.040152007600e-01,6.303727164462e-01
3.060153007650e-01,6.167544708573e-01
3.080154007700e-01,6.022210627767e-01
3.100155007750e-01,5.867420238184e-01
3.120156007800e-01,5.702890678527e-01
3.140157007850e-01,5.528394364479e-01
3.160158007900e-01,5.343814365992e-01
3.180159007950e-01,5.149235616400e-01
3.200160008000e-01,4.945094624667e-01
3.220161008050e-01,4.732423873265e-01
3.240162008100e-01,4.513245611812e-01
3.260163008150e-01,4.291187194622e-01
3.280164008200e-01,4.072378820744e-01
3.300165008250e-01,3.866570186964e-01
3.320166008300e-01,3.687990474203e-01
3.340167008350e-01,3.554660724441e-01
3.360168008400e-01,3.484351394004e-01
3.380169008450e-01,3.487365492037e-01
3.400170008500e-01,3.561048577673e-01
3.420171008550e-01,3.691438960335e-01
3.440172008600e-01,3.860263892245e-01
3.460173008650e-01,4.051055651468e-01
3.480174008700e-01,4.251590749631e-01
3.500175008750e-01,4.453751282489e-01
3.520176008800e-01,4.652504520184e-01
3.540177008850e-01,4.844888984233e-01
3.560178008900e-01,5.029258926780e-01
3.580179008950e-01,5.204780527229e-01
3.600180009000e-01,5.371111942889e-01
3.620181009050e-01,5.528204355007e-01
3.640182009100e-01,5.676179265249e-01
3.660183009150e-01,5.815253031777e-01
3.680184009200e-01,5.945690544603e-01
3.700185009250e-01,6.067776903738e-01
3.720186009300e-01,6.181800265536e-01
3.740187009350e-01,6.288041641988e-01
3.760188009400e-01,6.386769043508e-01
3.780189009450e-01,6.478234331657e-01
3.800190009500e-01,6.562671757194e-01
3.820191009550e-01,6.640297532485e-01
3.840192009600e-01,6.711310026986e-01
3.860193009650e-01,6.775890321681e-01
3.880194009700e-01,6.834202956168e-01
3.900195009750e-01,6.886396762147e-01
3.920196009800e-01,6.932605717197e-01
3.940197009850e-01,6.972949778353e-01
3.960198009900e-01,7.007535672144e-01
3.980199009950e-01,7.036457626371e-01
4.000200010001e-01,7.059798039845e-01
4.020201010051e-01,7.077628086072e-01
4.040202010101e-01,7.090008253981e-01
4.060203010151e-01,7.096988827811e-01
4.080204010201e-01,7.098610309518e-01
4.100205010251e-01,7.094903792330e-01
4.120206010301e-01,7.085891287685e-01
4.140207010351e-01,7.071586015230e-01
4.160208010401e-01,7.051992662669e-01
4.180209010451e-01,7.027107625548e-01
4.200210010501e-01,6.996919238193e-01
4.220211010551e-01,6.961408010005e-01
4.240212010601e-01,6.920546884364e-01
4.260213010651e-01,6.874301543509e-01
4.280214010701e-01,6.822630787917e-01
4.300215010751e-01,6.765487030578e-01
4.320216010801e-01,6.702816953824e-01
4.340217010851e-01,6.634562401729e-01
4.360218010901e-01,6.560661595965e-01
4.380219010951e-01,6.481050801553e-01
4.400220011001e-01,6.395666607561e-01
4.420221011051e-01,6.304449054593e-01
4.440222011101e-01,6.207345920812e-01
4.460223011151e-01,6.104318586966e-01
4.480224011201e-01,5.995350075910e-01
4.500225011251e-01,5.880456061623e-01
4.520226011301e-01,5.759699937172e-01
4.540227011351e-01,5.633213438364e-01
4.560228011401e-01,5.501224796126e-01
4.580229011451e-01,5.364097025924e-01
4.600230011501e-01,5.222379625196e-01
4.620231011551e-01,5.076877481079e-01
4.640232011601e-01,4.928740805805e-01
4.660233011651e-01,4.779578367175e-01
4.680234011701e-01,4.631591538829e-01
4.700235011751e-01,4.487715796801e-01
4.720236011801e-01,4.351735861505e-01
4.740237011851e-01,4.228309490627e-01
4.760238011901e-01,4.122801472876e-01
4.780239011951e-01,4.040822742338e-01
4.800240012001e-01,3.987439217858e-01
4.820241012051e-01,3.966189244674e-01
4.840242012101e-01,3.978252325938e-01
4.860243012151e-01,4.022155787593e-01
4.880244012201e-01,4.094170925660e-01
4.900245012251e-01,4.189190383855e-01
4.920246012301e-01,4.301690396884e-01
4.940247012351e-01,4.426466927977e-01
4.960248012401e-01,4.559042847969e-01
4.980249012451e-01,4.695799145871e-01
5.000250012501e-01,4.833935818688e-01
5.020251012551e-01,4.971354399192e-01
5.040252012601e-01,5.106520536612e-01
5.060253012651e-01,5.238336100983e-01
5.080254012701e-01,5.366031968105e-01
5.100255012751e-01,5.489083115449e-01
5.120256012801e-01,5.607143581055e-01
5.140257012851e-01,5.719997613697e-01
5.160258012901e-01,5.827523415267e-01
5.180259012951e-01,5.929666403036e-01
5.200260013001e-01,6.026419576177e-01
5.220261013051e-01,6.117809117921e-01
5.240262013101e-01,6.203883854264e-01
5.260263013151e-01,6.284707540434e-01
5.280264013201e-01,6.360353222903e-01
5.300265013251e-01,6.430899127562e-01
5.320266013301e-01,6.496425668796e-01
5.340267013351e-01,6.557013286266e-01
5.360268013401e-01,6.612740891764e-01
5.380269013451e-01,6.663684766092e-01
5.400270013501e-01,6.709917790350e-01
5.420271013551e-01,6.751508923406e-01
5.440272013601e-01,6.788522861294e-01
5.460273013651e-01,6.821019832088e-01
5.480274013701e-01,6.849055489986e-01
5.500275013751e-01,6.872680883002e-01
5.520276013801e-01,6.891942475448e-01
5.540277013851e-01,6.906882211201e-01
5.560278013901e-01,6.917537608244e-01
5.580279013951e-01,6.923941877929e-01
5.600280014001e-01,6.926124065074e-01
5.620281014051e-01,6.924109207204e-01
5.640282014101e-01,6.917918512794e-01
5.660283014151e-01,6.907569560447e-01
5.680284014201e-01,6.893076522572e-01
5.700285014251e-01,6.874450418529e-01
5.720286014301e-01,6.851699404813e-01
5.740287014351e-01,6.824829110472e-01
5.760288014401e-01,6.793843031402e-01
5.780289014451e-01,6.758742996342e-01
5.800290014501e-01,6.719529725715e-01
5.820291014551e-01,6.676203503172e-01
5.840292014601e-01,6.628764992472e-01
5.860293014651e-01,6.577216233053e-01
5.880294014701e-01,6.521561861271e-01
5.900295014751e-01,6.461810610786e-01
5.920296014801e-01,6.397977162802e-01
5.940297014851e-01,6.330084433083e-01
5.960298014901e-01,6.258166402289e-01
5.980299014951e-01,6.182271617699e-01
6.000300015001e-01,6.102467533616e-01
6.020301015051e-01,6.018845881222e-01
6.040302015101e-01,5.931529310013e-01
6.060303015151e-01,5.840679562931e-01
6.080304015201e-01,5.746507519416e-01
6.100305015251e-01,5.649285431969e-01
6.120306015301e-01,5.549361703840e-01
6.140307015351e-01,5.447178490123e-01
6.160308015401e-01,5.343292254134e-01
6.180309015451e-01,5.238397084716e-01
6.200310015501e-01,5.133350012693e-01
