alpha,R_crush
1.000000000000e-05,3.373708704762e+00
1.157807513705e-05,3.373607489718e+00
1.340518238791e-05,3.373490314923e+00
1.552062089131e-05,3.373354666152e+00
1.796989148533e-05,3.373197633898e+00
2.080567538217e-05,3.373015851501e+00
2.408896728518e-05,3.372805423682e+00
2.789038732018e-05,3.372561844036e+00
3.229169999944e-05,3.372279899817e+00
3.738757288965e-05,3.371953562110e+00
4.328761281083e-05,3.371575859241e+00
5.011872336273e-05,3.371138730972e+00
5.802783448666e-05,3.370632860688e+00
6.718506277268e-05,3.370047482491e+00
7.778737048694e-05,3.369370159683e+00
9.006280202113e-05,3.368586530772e+00
1.042753888854e-04,3.367680018739e+00
1.207308287460e-04,3.366631498911e+00
1.397830606579e-04,3.365418920478e+00
1.618418779184e-04,3.364016876419e+00
1.873817422860e-04,3.362396116522e+00
2.169519891499e-04,3.360522998287e+00
2.511886431510e-04,3.358358870975e+00
2.908280983975e-04,3.355859388998e+00
3.367229575211e-04,3.352973752466e+00
3.898603702549e-04,3.349643875264e+00
4.513832659769e-04,3.345803484708e+00
5.226149369087e-04,3.341377162150e+00
6.050875007273e-04,3.336279340948e+00
7.005748547910e-04,3.330413287491e+00
8.111308307897e-04,3.323670102474e+00
9.391333704860e-04,3.315927793275e+00
1.087335672720e-03,3.307050483496e+00
1.258925411794e-03,3.296887841147e+00
1.457593300969e-03,3.285274820469e+00
1.687612475788e-03,3.272240046878e+00
1.953930404690e-03,3.258055361588e+00
2.262275303806e-03,3.241958214395e+00
2.619279344816e-03,3.223744438331e+00
3.032621305920e-03,3.203202533712e+00
3.511191734215e-03,3.180116822872e+00
4.065284171933e-03,3.154271057998e+00
4.706816559609e-03,3.125452267699e+00
5.449587578346e-03,3.094195025223e+00
6.309573444802e-03,3.060939646885e+00
7.305271542664e-03,3.024345440747e+00
8.458098281751e-03,2.984259234595e+00
9.792849742266e-03,2.940810738954e+00
1.133823501218e-02,2.896267478612e+00
1.312749368925e-02,2.848117482719e+00
1.519911082953e-02,2.796275293114e+00
1.759764472006e-02,2.743935103604e+00
2.037468528040e-02,2.688269017829e+00
2.358996370702e-02,2.630171402111e+00
2.731263722801e-02,2.571264521380e+00
3.162277660168e-02,2.508942556818e+00
