alpha,spall_radius_d0.06,spall_radius_d0.09,spall_radius_d0.12,spall_radius_d0.15
1.000000000000e-05,0.000000000000e+00,0.000000000000e+00,1.747111631024e+00,2.893805704587e+00
1.340518238791e-05,0.000000000000e+00,0.000000000000e+00,1.747781105290e+00,2.895164723615e+00
1.796989148533e-05,0.000000000000e+00,0.000000000000e+00,1.748678533670e+00,2.896985946254e+00
2.408896728518e-05,0.000000000000e+00,0.000000000000e+00,1.749881525862e+00,2.899426303050e+00
3.229169999944e-05,0.000000000000e+00,0.000000000000e+00,1.751494106586e+00,2.902695788407e+00
4.328761281083e-05,0.000000000000e+00,0.000000000000e+00,1.753655697242e+00,2.907075219761e+00
5.802783448666e-05,0.000000000000e+00,0.000000000000e+00,1.756553141061e+00,2.912939780287e+00
7.778737048694e-05,0.000000000000e+00,0.000000000000e+00,1.760436790015e+00,2.920790081432e+00
1.042753888854e-04,0.000000000000e+00,0.000000000000e+00,1.765641995428e+00,2.931292856379e+00
1.397830606579e-04,0.000000000000e+00,0.000000000000e+00,1.772617747964e+00,2.945374977392e+00
1.873817422860e-04,0.000000000000e+00,0.000000000000e+00,1.781964683706e+00,2.965870669308e+00
2.511886431510e-04,0.000000000000e+00,0.000000000000e+00,1.794485141588e+00,2.993214131577e+00
3.367229575211e-04,0.000000000000e+00,0.000000000000e+00,1.811248210102e+00,3.029613664486e+00
4.513832659769e-04,0.000000000000e+00,0.000000000000e+00,1.834652795672e+00,3.077907572157e+00
6.050875007273e-04,0.000000000000e+00,0.000000000000e+00,1.867744326098e+00,3.144999892925e+00
8.111308307897e-04,0.000000000000e+00,7.044136386796e-01,1.911895721819e+00,3.236355188674e+00
1.087335672720e-03,0.000000000000e+00,7.160710938485e-01,1.975464011842e+00,3.361962092078e+00
1.457593300969e-03,0.000000000000e+00,7.317738794510e-01,2.064468393691e+00,3.532618247057e+00
1.953930404690e-03,0.000000000000e+00,7.547472109733e-01,2.193018365381e+00,3.762751518078e+00
2.619279344816e-03,0.000000000000e+00,7.878592231699e-01,2.378525081911e+00,4.061590915261e+00
3.511191734215e-03,0.000000000000e+00,8.385435256706e-01,2.649694678343e+00,4.431607725025e+00
4.706816559609e-03,0.000000000000e+00,9.190522836318e-01,3.027743244169e+00,4.839970901560e+00
6.309573444802e-03,0.000000000000e+00,1.059853098582e+00,3.493200723162e+00,5.236577002016e+00
8.458098281751e-03,0.000000000000e+00,1.331533144529e+00,3.977018177523e+00,5.569965096012e+00
1.133823501218e-02,0.000000000000e+00,1.860442007656e+00,4.561465809184e+00,5.950374702820e+00
1.519911082953e-02,0.000000000000e+00,2.728159189114e+00,5.099979464567e+00,6.312191212797e+00
2.037468528040e-02,8.855732375213e-01,3.546171159550e+00,5.477013170167e+00,6.530365303334e+00
2.731263722801e-02,1.535918340475e+00,4.096320562178e+00,5.701437332155e+00,6.622945215263e+00
