t_hours,alpha_max0.001,R_spall_max0.001,R_crush_max0.001,alpha_max0.01,R_spall_max0.01,R_crush_max0.01,alpha_max0.03,R_spall_max0.03,R_crush_max0.03
0.000000000000e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00
2.500000000000e-01,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00
5.000000000000e-01,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00
7.500000000000e-01,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00
1.000000000000e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00
1.250000000000e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00
1.500000000000e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00
1.750000000000e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00
2.000000000000e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00
2.250000000000e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00
2.500000000000e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00
2.750000000000e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00
3.000000000000e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00,1.000000000000e-05,1.746804658635e+00,3.373216754785e+00
