dp_over_p0,rel_alpha_0.0001,rel_alpha_0.001,rel_alpha_0.01
1.000000000000e-04,2.231786180862e-05,3.924749493556e-05,4.246906565308e-05
1.215474250076e-04,2.712645321501e-05,4.770399465048e-05,5.161975798562e-05
1.477377652599e-04,3.297101323474e-05,5.798249724775e-05,6.274204676160e-05
1.795714494372e-04,4.007469052980e-05,7.047552342287e-05,7.626069240851e-05
2.182644728397e-04,4.870868033047e-05,8.566013665123e-05,9.269194791051e-05
2.652948464432e-04,5.920255994840e-05,1.041161431230e-04,1.126632576474e-04
3.224590545296e-04,7.195684308270e-05,1.265482052542e-04,1.369371934556e-04
3.919406774847e-04,8.745822707912e-05,1.538127082108e-04,1.664405374056e-04
4.763938010401e-04,1.062981075965e-04,1.869503979379e-04,2.022996150917e-04
5.790443980602e-04,1.291950561644e-04,2.272260259375e-04,2.458832185923e-04
7.038135554932e-04,1.570221018707e-04,2.761764982295e-04,2.988547431677e-04
8.554672535566e-04,1.908398336974e-04,3.356693427052e-04,3.632355063177e-04
1.039798418481e-03,2.319365501606e-04,4.079736913334e-04,4.414816340643e-04
1.263848202934e-03,2.818769341688e-04,4.958464341802e-04,5.365774015000e-04
1.536174946672e-03,3.425610301870e-04,6.026367558698e-04,6.521485194402e-04
1.867181091292e-03,4.162956553775e-04,7.324129291630e-04,7.925995860123e-04
2.269510536695e-03,5.058807939706e-04,8.901160343637e-04,9.632807935982e-04
2.758531617629e-03,6.147140121215e-04,1.081746219120e-03,1.170690023330e-03
3.352924149250e-03,7.469164949427e-04,1.314588234602e-03,1.422717699697e-03
4.075392965872e-03,9.074849514925e-04,1.597484305684e-03,1.728943247545e-03
4.953535208959e-03,1.102474355207e-03,1.941163938664e-03,2.100993724743e-03
6.020894493336e-03,1.339217275454e-03,2.358642060720e-03,2.552977226934e-03
7.318242219076e-03,1.626586384987e-03,2.865698933336e-03,3.102006002269e-03
8.895134973108e-03,1.975307549708e-03,3.481457584875e-03,3.768826889643e-03
1.081180751077e-02,2.398331638810e-03,4.229077037580e-03,4.578579700069e-03
1.314147362612e-02,2.911273701909e-03,5.136582292874e-03,5.561707461466e-03
1.597312280060e-02,3.532928239745e-03,6.237854754678e-03,6.755045955073e-03
1.941491945744e-02,4.285868639207e-03,7.573809289424e-03,8.203123522276e-03
2.359833466782e-02,5.197137007013e-03,9.193786085788e-03,9.959705436848e-03
2.868316813342e-02,6.299026994395e-03,1.115718634380e-02,1.208961978535e-02
3.486365227678e-02,7.629955908676e-03,1.353537980030e-02,1.467090313303e-02
4.237587160604e-02,9.235412350702e-03,1.641390807673e-02,1.779730336076e-02
5.150678076168e-02,1.116895043404e-02,1.989499932438e-02,2.158117270900e-02
6.260516572015e-02,1.349317977608e-02,2.410039473353e-02,2.615677468465e-02
7.609496685460e-02,1.628067035363e-02,2.917446387073e-02,3.168401221104e-02
9.249147277217e-02,1.961465186096e-02,3.528755099650e-02,3.835255924033e-02
1.124210035062e-01,2.358933843117e-02,4.263944612766e-02,4.638634226137e-02
1.366448349295e-01,2.830965383115e-02,5.146281111216e-02,5.604827088761e-02
1.660882782628e-01,3.389007575764e-02,6.202631272371e-02,6.764505904713e-02
2.018760254679e-01,4.045227260144e-02,7.463712534979e-02,8.153191441015e-02
2.453751106640e-01,4.812119114982e-02,8.964237351347e-02,9.811681216554e-02
2.982471286217e-01,5.701929549706e-02,1.074290031266e-01,1.178640237514e-01
3.625117049989e-01,6.725878631443e-02,1.284215190261e-01,1.412965595460e-01
4.406236427774e-01,7.893187194730e-02,1.530770261912e-01,1.689972255968e-01
5.355666917707e-01,9.209952713810e-02,1.818770805858e-01,2.016081014329e-01
6.509675230458e-01,1.067796349763e-01,2.153159987728e-01,2.398284180165e-01
7.912342618981e-01,1.229358868456e-01,2.538854810626e-01,2.844110293114e-01
9.617248711153e-01,1.404691869622e-01,2.980556399051e-01,3.361578814541e-01
1.168951816499e+00,1.592134180951e-01,3.482527533495e-01,3.959150279915e-01
1.420830832534e+00,1.789371404296e-01,4.048342531244e-01,4.645677585367e-01
1.726983290659e+00,1.993520689546e-01,4.680616116649e-01,5.430362667609e-01
2.099103720109e+00,2.201280948320e-01,5.380719605826e-01,6.322719877101e-01
2.551406520031e+00,2.409134125369e-01,6.148495375848e-01,7.332543301519e-01
3.101168926575e+00,2.613573003872e-01,6.981985014188e-01,8.469870863481e-01
3.769390975388e+00,2.811325681169e-01,7.877193029618e-01,9.744933867459e-01
4.581597669054e+00,2.999547885515e-01,8.827915778542e-01,1.116807726215e+00
5.568813990945e+00,3.175961322330e-01,9.825672205934e-01,1.274963340152e+00
6.768750009459e+00,3.338927065437e-01,1.085977580301e+00,1.449973054544e+00
8.227241341700e+00,3.487454573550e-01,1.191758207105e+00,1.642801677585e+00
1.000000000000e+01,3.621156390891e-01,1.298492989567e+00,1.854328068206e+00
